start	end	distance	traffic
1	2	1	1
1	4	1	1
2	3	2	1
2	5	1	1
3	6	1	1
4	11	1	1
5	6	2	1
5	12	1	1
6	14	1	1
7	8	4	1
7	16	1	1
8	9	1	1
8	17	1	1
9	10	1	1
9	25	2	1
10	11	3	1
10	18	1	1
12	13	1	1
12	30	2	1
13	14	1	1
13	40	5	1
14	15	2	1
14	41	5	1
15	42	5	1
16	17	4	1
16	20	1	1
17	24	1	1
18	19	3	1
18	26	1	1
19	29	1	1
20	21	1	1
20	31	4	1
20	32	3	1
21	33	3	1
21	22	1	1
23	24	1	1
23	35	3	1
24	25	1	1
24	35	4	1
25	26	1	1
25	43	4	1
26	27	1	1
26	36	4	1
27	36	3	1
27	28	1	1
28	29	1	1
28	37	3	1
29	30	1	1
29	38	3	1
30	39	3	1
31	32	1	1
31	50	4	1
31	51	3	1
32	33	1	1
32	52	3	1
33	34	1	1
34	35	1	1
36	37	1	1
37	38	1	1
38	39	1	1
39	40	1	1
39	48	2	1
40	41	1	1
41	42	2	1
43	44	4	1
43	45	1	1
44	45	3	1
44	53	1	1
45	55	2	1
46	47	2	1
47	48	1	1
48	58	2	1
49	50	1	1
49	59	2	1
49	74	5.5	1
50	51	1	1
50	60	2	1
51	52	1	1
51	61	2	1
52	53	2	1
52	61	9	1
53	54	1	1
54	55	3	1
54	62	1	1
54	63	4	1
55	56	1	1
55	66	2	1
56	57	3	1
57	58	1	1
58	70	2	1
59	60	1	1
59	75	3	1
60	61	1	1
60	76	3	1
62	64	1	1
62	65	3	1
63	64	1	1
63	77	2	1
64	65	2	1
66	67	1	1
66	78	2	1
67	68	1	1
67	71	1.5	1
68	69	1	1
68	72	1.5	1
69	70	2	1
69	73	1.5	1
70	78	7	1
71	72	1	1
72	73	1	1
74	75	1	1
74	79	2.5	1
74	80	1.5	1
75	76	1	1
75	81	1.5	1
76	77	3	1
76	82	1.5	1
77	78	4	1
79	80	1	1
80	81	1	1
81	82	1	1
11111111			
			
			
43	100		
57	100		
11111111			
